564;20;11.3.10;6:38:48;0.00;0.50;358.55;0.34;62.79;0.04;25.47;0.14;0.000;0.00;36.265;6.85;37.1921;0.007;-121.1259;0.003;96.20;1.49;37.1417;0.006;-121.1016;0.003;85.20;1.37;32.1;158.9;29.1;88.8;2.5;-0.5;0.67;_104_051;0;0;20;11.3.10;6:38:48;354.49;0.68;63.66;0.51;23.00;0.14;35.70;0.58;57.05;0.50;38.80;0.14;333.11;0.26;29.83;0.27;220.5986;0.0001;0.8612;0.0026;0.319;0.013;3.14;0.72538;0.011;31.83;0.27;226.67;0.48;220.586;0.001;87.26;0.48;_104_051;0;2.57;0;1;220.5986;175.10;57.05
565;21;11.3.10;7:12:20;0.00;0.20;49.14;1.18;13.06;0.48;29.86;0.59;0.025;0.03;0.004;0.17;36.3104;0.001;-122.1542;0.001;92.70;0.11;36.3300;0.000;-122.1777;0.000;87.30;0.04;46.6;316.0;29.8;90.1;3.8;1.6;0.48;_114_064;2;2;21;11.3.10;7:12:20;49.09;1.26;12.19;1.83;27.58;0.63;49.96;1.38;-5.75;1.73;37.66;0.61;357.70;1.07;-4.20;1.24;220.6219;0.0001;0.4004;0.0213;0.417;0.052;2.40;0.83303;0.017;6.16;1.77;108.20;3.11;40.609;0.015;148.81;3.11;_114_064;0;2.92;0;1;220.6219;189.34;-5.75
566;22;11.3.10;7:18:09;0.00;0.54;51.81;0.09;20.83;0.06;30.28;1.09;0.000;0.62;0.061;0.36;37.4349;0.003;-120.7320;0.004;97.10;1.07;37.4715;0.003;-120.7924;0.004;82.10;1.01;46.5;307.2;24.4;85.8;1.8;-1.2;0.75;_051_044;17;630;22;11.3.10;7:18:09;51.72;0.14;20.27;1.97;28.04;1.21;54.46;0.54;1.43;1.90;36.18;0.74;0.47;1.57;1.11;1.47;220.6259;0.0001;0.3317;0.0139;0.540;0.060;1.85;0.82080;0.027;1.72;2.11;298.47;0.93;220.614;0.218;159.08;0.91;_051_044;0;3.49;0;1;220.6259;193.83;1.43
567;23;11.3.10;7:21:35;0.00;0.32;110.03;0.66;45.35;0.17;63.90;0.19;0.009;0.03;0.147;0.05;36.1586;0.001;-122.2761;0.001;112.10;0.10;36.0689;0.001;-122.4290;0.001;101.50;0.06;29.0;234.1;58.6;106.9;2.3;-0.1;0.49;_114_064;0;0;23;11.3.10;7:21:35;110.60;0.67;45.42;0.65;62.66;0.20;105.57;0.51;23.09;0.65;41.39;0.32;82.41;0.84;36.42;0.95;220.6283;0.0001;0.6248;0.0127;0.085;0.030;11.79;0.94702;0.018;132.09;1.12;256.18;1.68;220.615;0.000;116.79;1.68;_114_064;0;-0.21;0;1;220.6283;244.94;23.09
568;24;11.3.10;7:32:06;0.00;0.19;91.95;0.35;43.65;0.17;59.32;0.43;0.001;0.04;0.126;0.11;36.8191;0.000;-120.9518;0.000;95.90;0.08;36.7882;0.000;-121.0251;0.000;88.00;0.05;48.3;242.3;43.6;90.2;2.1;-0.1;0.72;_084_103;0;0;24;11.3.10;7:32:06;92.23;0.40;43.79;0.48;58.04;0.47;91.72;0.31;20.36;0.48;41.91;0.44;60.21;0.48;28.80;0.68;220.6356;0.0001;0.3121;0.0111;0.036;0.042;28.12;0.98890;0.013;121.37;0.95;292.24;1.74;220.623;0.000;152.86;1.74;_084_103;0;-0.17;0;1;220.6356;231.08;20.36
569;25;11.3.10;7:38:59;0.00;0.51;110.36;0.16;34.60;0.07;64.75;1.52;0.080;0.33;0.377;2.42;37.4494;0.001;-120.2953;0.003;113.60;0.18;37.3579;0.001;-120.5875;0.003;96.00;0.15;63.7;248.5;58.1;106.2;0.9;-1.4;0.42;_043_051;0;0;25;11.3.10;7:38:59;110.76;0.31;34.58;0.65;63.49;1.79;107.39;0.21;12.39;0.67;39.14;1.68;87.89;0.94;20.36;1.16;220.6404;0.0001;0.5495;0.0371;0.289;0.148;3.46;0.84105;0.071;153.19;1.58;268.66;7.19;220.628;0.003;129.29;7.19;_043_051;0;0.72;0;1;220.6404;246.75;12.39
570;26;11.3.10;7:40:22;0.00;0.32;51.51;0.29;14.73;0.29;29.91;0.16;0.035;0.03;0.094;0.07;37.6730;0.000;-120.8736;0.000;93.80;0.03;37.7042;0.000;-120.8999;0.000;85.30;0.04;33.6;326.2;26.5;88.9;2.6;0.1;0.57;_053_044;2;2;26;11.3.10;7:40:22;51.24;0.34;13.89;0.46;27.67;0.19;52.43;0.33;-4.64;0.46;36.77;0.18;358.99;0.26;-3.49;0.35;220.6414;0.0001;0.3656;0.0046;0.492;0.015;2.03;0.82026;0.005;5.24;0.52;113.66;0.71;40.629;0.004;154.29;0.71;_053_044;0;3.27;0;1;220.6414;191.79;-4.64
571;27;11.3.10;7:40:46;0.00;0.63;51.79;0.08;-2.63;0.10;31.13;0.07;0.004;0.01;0.060;0.08;36.0434;0.000;-122.2655;0.000;99.30;0.02;36.1470;0.000;-122.3255;0.000;84.80;0.02;38.1;334.8;41.7;90.3;0.8;-2.1;0.62;_064_114;338;338;27;11.3.10;7:40:46;51.60;0.09;-4.03;0.19;28.97;0.07;48.05;0.10;-22.05;0.19;39.44;0.06;356.16;0.11;-16.00;0.13;220.6416;0.0001;0.4882;0.0020;0.262;0.005;3.81;0.87200;0.002;22.26;0.16;95.19;0.27;40.629;0.000;135.81;0.27;_064_114;0;2.14;0;1;220.6416;187.41;-22.05
572;28;11.3.10;7:41:27;0.00;0.64;132.40;0.15;57.66;0.05;60.72;0.05;0.000;0.01;0.190;0.08;37.1614;0.000;-121.4759;0.000;117.00;0.04;36.9182;0.000;-121.7035;0.000;99.10;0.03;46.6;216.8;62.6;104.7;0.7;-2.2;0.69;_041_052_112_101;0;0;28;11.3.10;7:41:27;133.46;0.17;57.69;0.17;59.50;0.05;117.98;0.12;38.40;0.17;41.45;0.10;96.09;0.34;63.07;0.20;220.6421;0.0001;0.9241;0.0012;0.079;0.009;12.68;0.92713;0.009;112.71;0.22;210.96;0.29;220.629;0.000;71.59;0.29;_041_052_112_101;0;-0.04;0;1;220.6421;257.34;38.40
573;29;11.3.10;7:41:49;0.00;0.69;49.78;0.05;20.78;0.04;31.25;0.05;0.000;0.01;0.116;0.06;36.6001;0.000;-121.5397;0.000;101.50;0.03;36.6496;0.000;-121.5915;0.000;81.10;0.06;51.6;319.9;19.7;90.5;1.6;-1.8;0.54;_054_101;17;630;29;11.3.10;7:41:49;49.43;0.06;20.29;0.13;29.13;0.06;52.38;0.05;1.99;0.13;37.67;0.04;0.84;0.08;1.54;0.10;220.6424;0.0001;0.3480;0.0009;0.416;0.003;2.40;0.85506;0.001;2.40;0.16;294.12;0.10;220.628;0.003;154.74;0.10;_054_101;0;2.87;0;1;220.6424;191.74;1.99
